geo_lat,geo_lon,total_meters,price,price_per_meter,color
45.0720903,39.0377446,32.0,3550000.0,110937.5,#ab0626
45.060017849999994,39.11529812451578,33.3,4800000.0,144144.14414414414,#b30d26
45.09644754999999,38.94284832582389,35.1,3500000.0,99715.09971509971,#ab0626
45.097302600000006,39.003051423986705,35.0,4100000.0,117142.85714285714,#af0926
45.093145,39.041124,41.6,5200000.0,125000.0,#b71126
45.093746249999995,38.91641214503867,33.3,3650000.0,109609.60960960962,#ab0626
45.113593,38.9204509,39.48,4000000.0,101317.12259371835,#ad0826
45.0324781,39.0446806,29.0,6000008.0,206896.8275862069,#bb1526
45.0037501,39.0198169,31.0,5665000.0,182741.93548387097,#b91326
45.0466337,38.9925741,38.3,7700000.0,201044.3864229765,#c62027
45.07276935,39.05167390009619,41.43,6230546.0,150387.30388607288,#bd1726
45.1052476,38.95251582649928,42.02,5200000.0,123750.59495478343,#b71126
45.0774022,39.022534,36.6,3990000.0,109016.39344262295,#ad0826
45.1057847,38.9585552,35.27,3499000.0,99206.12418485964,#ab0626
45.0309951,39.0326293,35.36,4850000.0,137160.63348416288,#b30d26
45.113593,38.9204509,202.0,4979500.0,24650.9900990099,#b50f26
45.0899425,38.899603436373,44.1,6253380.0,141800.0,#bd1726
45.0922688,39.0339571,43.95,5405850.0,122999.99999999999,#b71126
45.1019377,38.981445,46.75,8500000.0,181818.18181818182,#cc2627
45.091176149999995,39.0472870152643,35.76,4700000.0,131431.7673378076,#b30d26
45.097302600000006,39.003051423986705,32.4,3900000.0,120370.37037037038,#ad0826
45.0145989,39.0624348,47.0,5600000.0,119148.93617021276,#b91326
45.1091624,38.95328242436568,41.25,6323625.0,153300.0,#bd1726
43.6734629,40.2625092,51.0,9780000.0,191764.70588235295,#d62f27
45.0964434,38.94726990289381,36.5,4026000.0,110301.3698630137,#ad0826
45.1082228,38.95552932125506,38.0,5200000.0,136842.1052631579,#b71126
45.113593,38.9204509,36.0,3550000.0,98611.11111111111,#ab0626
45.0862622,38.8987326,202.0,5970570.0,29557.27722772277,#bb1526
45.0906317,39.01004101951046,36.39,4366800.0,120000.0,#b10b26
45.0037501,39.0198169,28.9,5000000.0,173010.38062283737,#b50f26
45.09561455,38.90753427884407,31.5,4776500.0,151634.92063492062,#b30d26
45.064267799999996,38.98343017474212,52.21,10994100.0,210574.60256655814,#db382b
45.1010396,38.9542757,43.7,4500000.0,102974.82837528603,#b10b26
43.6734629,40.2625092,39.0,7800000.0,200000.0,#c82227
45.0732724,38.9033616,37.55,5179310.0,137931.02529960053,#b50f26
45.0242073,39.048245625,41.8,12818946.0,306673.34928229667,#e24731
45.0732724,38.9033616,37.7,5202000.0,137984.0848806366,#b71126
45.0732724,38.9033616,37.45,5264854.0,140583.55140186916,#b71126
44.8304302,37.54757752936354,38.1,9719310.0,255100.0,#d62f27
