,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
2457,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/283407317/,Краснодар,sale,flat,7,9,2,52.5,7980000,мкр. Калинино, Западный обход,42лит2/6,,Sport Village
2458,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/289724311/,Краснодар,sale,flat,14,24,2,57.8,7984087,Плодородный-2 мкр, Константиновская,5лит8,,Левада
2459,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/289724347/,Краснодар,sale,flat,18,24,2,57.4,7991974,Плодородный-2 мкр, Константиновская,5лит8,,Левада
2460,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/296259149/,Краснодар,sale,flat,10,16,2,66.05,7992050,Прикубанский, Кирилла Россинского,3/1,,Хорошая погода
2461,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299781285/,Краснодар,sale,flat,6,10,2,65.76,7996416,,,,,Европа-Сити
2462,Европея,developer,https://krasnodar.cian.ru/sale/flat/299342551/,Краснодар,sale,flat,2,10,2,65.76,7943808,,,,,Европа-Сити
2463,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299815193/,Краснодар,sale,flat,5,18,2,60.83,7951698,Прикубанский, Наставников,,,Архитектор
2464,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299815385/,Краснодар,sale,flat,2,18,2,58.0,7947160,,,,,Архитектор
2465,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299815101/,Краснодар,sale,flat,5,18,2,59.98,7948550,Прикубанский, Наставников,,,Архитектор
2466,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301379187/,Краснодар,sale,flat,8,9,2,63.93,7991250,,,,,Народные Кварталы
2467,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/290054452/,Краснодар,sale,flat,2,16,2,59.04,7970400,,,,,Теплые края
2468,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/294467574/,Краснодар,sale,flat,2,9,2,59.8,7998999,мкр. Калинино, Западный обход,42лит2/2,,Sport Village
2469,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297378448/,Краснодар,sale,flat,9,9,2,68.67,7965720,Западный Город ЖК, Крылатская,,,Событие
2470,Семья,developer,https://krasnodar.cian.ru/sale/flat/283701493/,Краснодар,sale,flat,2,9,2,63.95,7993750,мкр. Калинино, Западный обход,44,,Друзья
2471,Квартиротека,representative_developer,https://krasnodar.cian.ru/sale/flat/299374186/,Краснодар,sale,flat,1,9,2,47.0,7990000,мкр. Калинино, Западный обход,42лит2/7,,Sport Village
2472,Девелопмент-юг,developer,https://krasnodar.cian.ru/sale/flat/294462891/,Краснодар,sale,flat,8,9,2,52.5,7980000,мкр. Калинино, Западный обход,42лит2/6,,Sport Village
2473,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298333242/,Краснодар,sale,flat,2,18,2,57.7,7906054,,,,,Архитектор
2474,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298332592/,Краснодар,sale,flat,6,18,2,62.82,7929140,Прикубанский, Наставников,,,Архитектор
