,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
0,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294670713/,Краснодар,sale,flat,2,17,1,35.6,7333600,,,,,Екатерининский парк
1,ESTATE,real_estate_agent,https://krasnodar.cian.ru/sale/flat/300044229/,Краснодар,sale,flat,11,25,1,39.0,7800000,мкр. Школьный, Школьная,1,,Сердце
2,AVA,developer,https://krasnodar.cian.ru/sale/flat/301513091/,Краснодар,sale,flat,3,12,1,41.6,6539520,мкр. 9-й километр, Ярославская,115лит3,,Небо
3,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301859957/,Краснодар,sale,flat,9,16,1,35.4,4354200,Прикубанский, Летчика Позднякова,,,Дыхание
4,AVA,developer,https://krasnodar.cian.ru/sale/flat/301769654/,Краснодар,sale,flat,15,16,1,32.95,5021580,Карасунский, Богатырская,,,Смородина
5,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301850562/,Краснодар,sale,flat,3,16,1,35.78,4680024,Прикубанский, Западный обход,,,Зелёный театр
6,AVA,developer,https://krasnodar.cian.ru/sale/flat/301513606/,Краснодар,sale,flat,2,21,1,39.05,5490430,мкр. ХБК,Уральская ,100/8,,Режиссёр
7,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301856242/,Краснодар,sale,flat,22,24,1,39.27,6276034,Прикубанский, Семигорская,,,Микрорайон Любимово
8,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/299555967/,Краснодар,sale,flat,2,16,1,43.4,9711618,мкр. Черемушки,Старокубанская ,123А,,Айвазовский
9,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/297416561/,Краснодар,sale,flat,3,3,1,30.1,3300000,Прикубанский, Лиссабонская,80,,Португалия
10,AVA,developer,https://krasnodar.cian.ru/sale/flat/301514878/,Краснодар,sale,flat,22,23,1,35.18,5720268,мкр. КСК,Уральская ,87/7,,URAL
11,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/286771278/,Краснодар,sale,flat,13,24,1,36.3,4500000,мкр. Гидростроителей, Автолюбителей,1Г,,Стрижи
12,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/288552332/,Краснодар,sale,flat,2,22,1,37.8,5635980,Прикубанский,шоссе Ближний Западный Обход,2к3,,Отражение
13,Анна Демина,realtor,https://krasnodar.cian.ru/sale/flat/301547296/,Краснодар,sale,flat,2,18,1,42.0,6300000,,,,,Народные Кварталы
14,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294666362/,Краснодар,sale,flat,2,24,1,33.88,4780807,мкр. РИП,Российская ,,,Гулливер
15,Инвест Недвижимость,real_estate_agent,https://krasnodar.cian.ru/sale/flat/266365668/,Краснодар,sale,flat,3,19,1,33.7,3400000,Прикубанский, Дубравная,1,,Открытие
16,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/275302369/,Краснодар,sale,flat,10,20,1,39.1,4887500,Прикубанский, Адмирала Крузенштерна,5,,RED777
17,Дмитрий Журавлев,realtor,https://krasnodar.cian.ru/sale/flat/299374023/,Краснодар,sale,flat,15,16,1,34.0,5500000,Прикубанский, Западный обход,39/2к1,,Самолет
18,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/298712445/,Краснодар,sale,flat,8,18,1,35.41,8746270,,,,,Фонтаны
19,ID 70697494,unknown,https://krasnodar.cian.ru/sale/flat/297119925/,Краснодар,sale,flat,9,25,1,46.0,6000000,мкр. КСК,Уральская ,87/7,,URAL
20,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298623129/,Краснодар,sale,flat,2,8,1,36.33,4977210,,,,,ЮГГЕ
21,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301851376/,Краснодар,sale,flat,9,16,1,39.73,5156252,Прикубанский, Западный обход,,,Зелёный театр
22,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/301225426/,Краснодар,sale,flat,3,16,1,36.1,4151500,Прикубанский, Кирилла Россинского,3/1к1,,Хорошая погода
23,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301851377/,Краснодар,sale,flat,16,16,1,36.2,6805600,Прикубанский, Западный обход,,,Самолет
24,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/292674481/,Краснодар,sale,flat,14,24,1,36.98,8874000,,,,,Гарантия на Обрывной
25,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301854271/,Краснодар,sale,flat,12,16,1,38.25,4964850,Прикубанский, Западный обход,,,Зелёный театр
26,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299931042/,Краснодар,sale,flat,6,16,1,56.07,7401000,Черемушки мкр, Вишняковой,1/23к1,,Радонеж
27,Самолет Плюс Краснодар,real_estate_agent,https://krasnodar.cian.ru/sale/flat/279910613/,Краснодар,sale,flat,9,25,1,36.0,4800000,мкр. КСК,Уральская ,87/7,,URAL
28,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298799613/,Краснодар,sale,flat,2,21,1,31.88,4463200,Прикубанский,бульвар Адмиралтейский,1,,Эстет
29,ID 109138800,homeowner,https://krasnodar.cian.ru/sale/flat/294216478/,Краснодар,sale,flat,11,27,1,39.0,7800000,мкр. Школьный, Школьная,1,,Сердце
30,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/297951726/,Краснодар,sale,flat,2,11,1,44.8,5962880,Прикубанский, Даниила Смоляна,65к1,,Южане
31,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/294756035/,Краснодар,sale,flat,5,24,1,30.34,4700000,Центральный,Воронежская ,47/10,,Фонтаны
32,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301286089/,Краснодар,sale,flat,2,5,1,36.2,3945000,Прикубанский, Имени Валерия Вишневецкого,7,,Гармония
33,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/297488890/,Краснодар,sale,flat,11,24,1,32.0,5800000,Центральный,Воронежская ,47/35,,Фонтаны
34,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293453262/,Краснодар,sale,flat,13,16,1,39.3,5608110,,,,,Dogma park
35,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/297489087/,Краснодар,sale,flat,11,18,1,40.0,4500000,Прикубанский, Западный обход,,,Зелёный театр
36,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/296621689/,Краснодар,sale,flat,15,18,1,37.6,5034640,,,,,Парк Победы - 2
37,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/285037733/,Краснодар,sale,flat,7,12,1,40.0,4500000,мкр. Новознаменский, Богатырская,,,Смородина
38,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299497636/,Краснодар,sale,flat,-1,-1,-1,202.0,5442070,,,,,Отражение
39,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/294859471/,Краснодар,sale,flat,2,18,1,38.15,8600000,,,,,Патрики
40,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301379348/,Краснодар,sale,flat,10,18,1,32.46,4706700,,,,,Народные Кварталы
41,Анна Демина,realtor,https://krasnodar.cian.ru/sale/flat/301075008/,Краснодар,sale,flat,4,4,1,36.0,4619575,Новая Елизаветка кп, Имени Федора Елисеева,,,Микрорайон Новая Елизаветка
42,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/297752782/,Краснодар,sale,flat,-1,-1,-1,202.0,4844950,Догма Парк мкр, Марины Цветаевой,17к1,,Аксиома
43,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/295705325/,Краснодар,sale,flat,5,16,1,38.38,7000000,,,,,Гарантия на Обрывной
44,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301286107/,Краснодар,sale,flat,3,3,1,47.7,4841550,Прикубанский, Имени Валерия Вишневецкого,13/3,,Отрада
45,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/294782924/,Краснодар,sale,flat,11,23,1,37.8,7800000,мкр. Табачная фабрика,Колхозная ,5,,Все свои Vip
46,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/293771670/,Краснодар,sale,flat,6,9,1,35.44,5032480,мкр. Калинино, Имени Генерала Брусилова,5лит1.2,,Зеленая территория
47,Орион,real_estate_agent,https://krasnodar.cian.ru/sale/flat/297595860/,Краснодар,sale,flat,5,24,1,34.0,4220000,мкр. Гидростроителей, Автолюбителей,1Гк1,,Стрижи
48,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/291295821/,Краснодар,sale,flat,3,9,1,36.8,5249280,"на 3 этаже. Новый жилой комплекс ""Лето"" от застройщика ""ГК Дарстрой"" расположен по адресу город Краснодар", Западный Обход.,,,Лето
49,ID 70697494,unknown,https://krasnodar.cian.ru/sale/flat/300336844/,Краснодар,sale,flat,9,19,1,40.0,5500000,мкр. ХБК,Уральская ,100/6,,Режиссёр
50,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/302130806/,Краснодар,sale,flat,5,15,1,35.85,6990750,мкр. РИП,Ростовское шоссе,30/7,,Лучший
51,ID 55733666,homeowner,https://krasnodar.cian.ru/sale/flat/301779241/,Краснодар,sale,flat,18,23,1,37.8,7899999,Центральный,Колхозная ,5/1,,Все свои Vip
52,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301125910/,Краснодар,sale,flat,2,4,1,35.95,4880346,,,,,Микрорайон Новая Елизаветка
53,ID 97086848,homeowner,https://krasnodar.cian.ru/sale/flat/299408442/,Краснодар,sale,flat,12,25,1,48.0,10900000,Центральный, Митрофана Седина,131,,Анит-Сити
54,Объединение застройщиков,representative_developer,https://krasnodar.cian.ru/sale/flat/293766590/,Краснодар,sale,flat,11,24,1,37.91,5952634,,,,,Микрорайон Любимово
55,ID 92130020,realtor,https://krasnodar.cian.ru/sale/flat/301945402/,Краснодар,sale,flat,23,24,1,44.0,6195000,Плодородный-2 мкр, Константиновская,5лит6,,Левада
56,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/302012238/,Краснодар,sale,flat,3,16,1,35.4,5752500,,,,,Дыхание
57,Дарья Кравченко,realtor,https://krasnodar.cian.ru/sale/flat/301384201/,Краснодар,sale,flat,10,18,1,32.7,3500000,Прикубанский, Имени Дзержинского,,,Архитектор
58,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/295777639/,Краснодар,sale,flat,6,13,1,35.51,10287247,,,,,Патрики
59,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/287682388/,Краснодар,sale,flat,17,24,1,31.9,4300000,Центральный,Воронежская ,47Д,,Фонтаны
60,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300481663/,Краснодар,sale,flat,10,24,1,35.9,8508300,мкр. Табачная фабрика,Колхозная ,5к6,,Все свои Vip
61,Редкая сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/298522072/,Краснодар,sale,flat,9,9,1,33.76,3750000,Сады Калинина мкр, Средняя,30/12,,Новые сезоны
62,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293471505/,Краснодар,sale,flat,14,16,1,35.0,6937000,,,,,Самолет
63,Мои Метры,real_estate_agent,https://krasnodar.cian.ru/sale/flat/294006160/,Краснодар,sale,flat,10,14,1,30.0,3000000,Прикубанский, 3-я Трудовая,1/3,,Зеленодар
64,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/295362896/,Краснодар,sale,flat,3,18,1,25.5,5380000,Прикубанский, Героя Владислава Посадского,17,,Парк у дома
65,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/296028912/,Краснодар,sale,flat,9,19,1,36.0,3200000,Прикубанский, Дубравная,1,,Открытие
66,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299300063/,Краснодар,sale,flat,-1,-1,-1,202.0,5606190,,,,,Южане
67,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/297854360/,Краснодар,sale,flat,19,19,1,33.7,3300000,мкр. Гидростроителей, Невкипелого,24/2к1,,Трилогия
68,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285560/,Краснодар,sale,flat,-1,-1,-1,202.0,6381800,,,,,Репин Парк
69,Самолет Плюс Краснодар,real_estate_agent,https://krasnodar.cian.ru/sale/flat/284015052/,Краснодар,sale,flat,5,16,1,37.2,3750000,,,,,Дыхание
70,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285201864/,Краснодар,sale,flat,5,7,1,35.1,7546500,,,,,Екатерининский парк
71,Редкая сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299104163/,Краснодар,sale,flat,8,9,1,42.06,5000000,Прикубанский, Венецианская,,,Новые сезоны
72,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301285637/,Краснодар,sale,flat,-1,-1,-1,1.0,5322250,Прикубанский, Имени Героя Георгия Бочарникова,2лит2,,Улыбка
73,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/290338556/,Краснодар,sale,flat,15,16,1,22.9,2890000,Прикубанский, Западный обход,39/2,,Самолет
74,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301178706/,Краснодар,sale,flat,10,18,1,20.0,3160000,Карасунский, Юрия Радоняка,,,Первое место
75,Валерия Тыщенко,realtor,https://krasnodar.cian.ru/sale/flat/301162121/,Краснодар,sale,flat,14,17,1,39.2,5450000,мкр. Табачная фабрика,Колхозная ,5к6,,Все свои Vip
76,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/294482584/,Краснодар,sale,flat,20,24,1,36.2,9234620,мкр. Черемушки,Новороссийская ,102/8к5,,Рекорд
77,ВЕРОНА,real_estate_agent,https://krasnodar.cian.ru/sale/flat/274937540/,Краснодар,sale,flat,8,18,1,38.1,4500000,Прикубанский, Конгрессная,31,,Достояние
78,ССК,developer,https://krasnodar.cian.ru/sale/flat/302120245/,Краснодар,sale,flat,15,16,1,35.4,4425000,,,,,Дыхание
79,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/287961968/,Краснодар,sale,flat,5,24,1,25.1,2920000,Прикубанский, Героя Пешкова,14к3,,Парк Победы
80,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299816902/,Краснодар,sale,flat,20,24,1,36.2,9234620,мкр. Черемушки,Новороссийская ,102/8к5,,Рекорд
81,Сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/296078756/,Краснодар,sale,flat,18,25,1,36.0,5034720,мкр. КСК,Уральская ,87/7,,URAL
82,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/293828997/,Краснодар,sale,flat,2,24,1,36.96,5596386,Плодородный-2 мкр, Константиновская,5лит6,,Левада
83,Вадим Пасюта,realtor,https://krasnodar.cian.ru/sale/flat/294554863/,Краснодар,sale,flat,3,3,1,35.0,3650000,Прикубанский, Ольденбуржская,,,Португалия
84,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299802334/,Краснодар,sale,flat,16,22,1,35.83,4874000,мкр. Славянский, Заполярная,39к7,,Славянка
85,Редкая сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299104916/,Краснодар,sale,flat,9,9,1,34.28,4100000,Прикубанский, Венецианская,,,Новые сезоны
86,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299822910/,Краснодар,sale,flat,13,16,1,39.3,5608110,,,,,Dogma park
87,Сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299519219/,Краснодар,sale,flat,8,16,1,40.0,4332175,Прикубанский, Имени Героя Советского Союза Якова Кобзаря,3,,Восточный
88,АльфаСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/295040082/,Краснодар,sale,flat,14,16,1,32.95,4942500,Новознаменский ДНТ, Дальневосточная,,,Друг
89,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/298374289/,Краснодар,sale,flat,2,22,1,38.23,5250000,Прикубанский, Григория Булгакова,6,,Достояние
90,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299868721/,Краснодар,sale,flat,11,16,1,35.0,6937000,,,,,Самолет
91,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/291000003/,Краснодар,sale,flat,15,16,1,36.0,3350000,Прикубанский, Западный обход,39/2,,Самолет
92,ССК,developer,https://krasnodar.cian.ru/sale/flat/302163079/,Краснодар,sale,flat,5,23,1,37.39,9347500,мкр. Школьный, Школьная,1,,Сердце
93,Аурус-Риэлт,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299603170/,Краснодар,sale,flat,8,25,1,31.3,3499000,Имени Петра Метальникова мкр, Петра Метальникова,36,,Лучший
94,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/298457620/,Краснодар,sale,flat,17,24,1,30.4,5718240,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
95,Сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299515538/,Краснодар,sale,flat,15,16,1,35.4,3894000,Прикубанский, Летчика Позднякова,2к17,,Дыхание
96,Семья,developer,https://krasnodar.cian.ru/sale/flat/301183028/,Краснодар,sale,flat,2,9,1,31.68,4371840,мкр. Калинино, Имени Б.С. Кудухова,7,,Друзья
97,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301849696/,Краснодар,sale,flat,15,22,1,39.5,4500000,мкр. ХБК,Уральская ,100,,Режиссёр
98,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/294767483/,Краснодар,sale,flat,13,20,1,50.9,6362500,Имени Демьяна Бедного жилмассив, Степная,1/1,,Мозаика
99,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301308869/,Краснодар,sale,flat,5,9,1,38.9,4000000,мкр. Калинино, Имени Генерала Корнилова,9А,,Облака
100,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/270889999/,Краснодар,sale,flat,15,17,1,35.03,4203600,мкр. РИП,Российская ,267к5,,Оникс
101,Арсен Шуманов,realtor,https://krasnodar.cian.ru/sale/flat/297661978/,Краснодар,sale,flat,14,22,1,39.5,5150000,мкр. ХБК,Уральская ,100,,Альфа
102,ССК,developer,https://krasnodar.cian.ru/sale/flat/302121659/,Краснодар,sale,flat,2,16,1,38.28,5167800,,,,,Сегодня
103,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/297746854/,Краснодар,sale,flat,12,14,1,31.0,4000000,мкр. РИП, 2-я Российская,162,,LIME
104,ССК,developer,https://krasnodar.cian.ru/sale/flat/302118643/,Краснодар,sale,flat,5,15,1,35.85,4517100,мкр. РИП,Ростовское шоссе,30/7,,Лучший
105,Анна Демина,realtor,https://krasnodar.cian.ru/sale/flat/292536801/,Краснодар,sale,flat,2,9,1,34.82,4352000,Прикубанский, Венецианская,,,Новые сезоны
106,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301906750/,Краснодар,sale,flat,3,23,1,52.78,9530400,мкр. Аврора, Шоссе Нефтяников,18к4,,Краснодар сити
107,Сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299524626/,Краснодар,sale,flat,3,10,1,31.2,3572400,Прикубанский, Венецианская,2,,Европа-Сити
108,Камбер,developer,https://krasnodar.cian.ru/sale/flat/276696852/,Краснодар,sale,flat,13,23,1,49.5,6954750,мкр. Черемушки, Селезнева,104/1,,Дом у озера
109,КАЯН отдел продаж Центральный офис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299726198/,Краснодар,sale,flat,11,25,1,47.0,16450000,мкр. Центральный,Северная ,269/3,,Skala
110,Семья,developer,https://krasnodar.cian.ru/sale/flat/290189033/,Краснодар,sale,flat,9,18,1,33.47,4083340,,,,,Теплые края
111,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/296028916/,Краснодар,sale,flat,10,25,1,35.0,4300000,мкр. Гидростроителей, Автолюбителей,1/Глит1,,Стрижи
112,ССК,developer,https://krasnodar.cian.ru/sale/flat/302121075/,Краснодар,sale,flat,6,19,1,35.41,6727900,,,,,Фонтаны
113,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/300179944/,Краснодар,sale,flat,18,22,1,39.3,4800000,мкр. ХБК,Уральская ,100,,Альфа
114,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298331678/,Краснодар,sale,flat,3,24,1,41.03,5530844,,,,,Достояние
115,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/300822088/,Краснодар,sale,flat,6,24,1,48.7,5990000,мкр. КСК,Уральская ,87/7,,URAL
116,ЮгСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/298330891/,Краснодар,sale,flat,6,19,1,36.18,5414337,,,,,Губернский
117,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/296476263/,Краснодар,sale,flat,18,19,1,41.2,3650000,Прикубанский, Дубравная,1,,Открытие
118,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/290190267/,Краснодар,sale,flat,10,18,1,39.24,4826520,,,,,Теплые края
119,Елена Полюндра,realtor,https://krasnodar.cian.ru/sale/flat/301681194/,Краснодар,sale,flat,8,18,1,38.27,3550000,Догма Парк мкр, Марины Цветаевой,17к1,,Аксиома
120,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293458246/,Краснодар,sale,flat,3,16,1,44.2,8451040,,,,,Самолет
121,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299181766/,Краснодар,sale,flat,2,23,1,40.8,4700000,Карасунский, Имени В.Н. Мачуги,166/2,,Сказка град
122,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294669966/,Краснодар,sale,flat,5,15,1,38.0,8728220,,,,,Екатерининский парк
123,Этажи Москва,real_estate_agent,https://krasnodar.cian.ru/sale/flat/287577021/,Краснодар,sale,flat,14,24,1,36.3,7199999,,,,,Рекорд
124,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299631393/,Краснодар,sale,flat,1,16,1,37.4,5393080,Прикубанский, Имени Героя Советского Союза Николая Воробьева,17,,Квартал №6
125,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/298577216/,Краснодар,sale,flat,7,24,1,42.4,4800000,Карасунский, Имени Валерия Гассия,4/7лит2,,Fresh
126,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/285194415/,Краснодар,sale,flat,7,16,1,43.45,6278525,Прикубанский, Кирилла Россинского,3/2к1,,Хорошая погода
127,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/294782110/,Краснодар,sale,flat,8,9,1,43.0,10500000,мкр. ХБК,Сормовская ,лит1/1,,Патрики
128,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/298624710/,Краснодар,sale,flat,18,18,1,43.38,11278800,,,,,Фонтаны
129,Редкая сделка,real_estate_agent,https://krasnodar.cian.ru/sale/flat/299103513/,Краснодар,sale,flat,9,9,1,34.42,4200000,Сады Калинина мкр, Средняя,30/12,,Новые сезоны
130,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/293525448/,Краснодар,sale,flat,4,16,1,40.1,9543800,Прикубанский, Ивана Беличенко,95к1,,Самолет
131,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/298578758/,Краснодар,sale,flat,4,20,1,40.0,4950000,Карасунский, Имени Валерия Гассия,4/7лит3,,Fresh
132,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/301535026/,Краснодар,sale,flat,6,24,1,42.9,10729290,мкр. Черемушки,Новороссийская ,102/8к5,,Рекорд
133,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/297835109/,Краснодар,sale,flat,4,9,1,30.0,3300000,Прикубанский, Летчика Позднякова,,,Дыхание
134,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299821429/,Краснодар,sale,flat,8,16,1,38.0,7246600,Прикубанский, Анны Ахматовой,,,Dogma park
135,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/294214036/,Краснодар,sale,flat,3,9,1,35.0,4400000,Прикубанский, Венецианская,8,,Новые сезоны
136,ID 45302310,developer,https://krasnodar.cian.ru/sale/flat/298815798/,Краснодар,sale,flat,16,16,1,36.2,7283440,,,,,Самолет
137,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/296907913/,Краснодар,sale,flat,15,16,1,25.0,3500008,Прикубанский, Западный обход,57лит25,,Самолет
138,АльфаСтройИнвест,developer,https://krasnodar.cian.ru/sale/flat/295038280/,Краснодар,sale,flat,9,19,1,35.75,5434000,мкр. Новознаменский, Дальневосточная,,,Друг
139,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/292369909/,Краснодар,sale,flat,8,12,1,30.0,4900000,мкр. 9-й километр, Ярославская,,,Небо
140,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294670592/,Краснодар,sale,flat,2,17,1,37.0,7622000,,,,,Екатерининский парк
141,Мария Венярская,realtor,https://krasnodar.cian.ru/sale/flat/295919616/,Краснодар,sale,flat,7,9,1,40.0,6360000,мкр. 9-й километр,проезд Репина,,,Репин Парк
142,Камбер,developer,https://krasnodar.cian.ru/sale/flat/276696866/,Краснодар,sale,flat,16,23,1,49.4,6990100,мкр. Черемушки, Селезнева,104/1,,Дом у озера
143,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/271706320/,Краснодар,sale,flat,9,18,1,26.57,3880000,Прикубанский, Конгрессная,33,,Достояние
144,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/278851498/,Краснодар,sale,flat,1,19,1,37.0,5385000,Прикубанский, Западный обход,45к2,,Грани
145,Мореон Инвест,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301807136/,Краснодар,sale,flat,17,22,1,40.0,5200000,Прикубанский, Григория Булгакова,11А,,Достояние
146,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/298966329/,Краснодар,sale,flat,20,24,1,33.0,6131400,Прикубанский, Имени Героя Георгия Бочарникова,2лит1,,Улыбка
147,Павел Иванников,realtor,https://krasnodar.cian.ru/sale/flat/301849252/,Краснодар,sale,flat,5,23,1,44.0,4622000,Прикубанский,шоссе Ближний Западный Обход,2к4,,Отражение
148,Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/299824311/,Краснодар,sale,flat,15,16,1,39.3,7573110,Догма Парк мкр, Марины Цветаевой,3к2,,Dogma park
149,93 Регион-Строй,real_estate_agent,https://krasnodar.cian.ru/sale/flat/300367776/,Краснодар,sale,flat,12,24,1,31.3,3600000,Прикубанский, Понтийская,9,,Свобода
150,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294668280/,Краснодар,sale,flat,23,24,1,37.95,5433302,Музыкальный мкр, Имени Дунаевского И.И.,,,Гулливер
151,Юлия Волкова,realtor,https://krasnodar.cian.ru/sale/flat/267120461/,Краснодар,sale,flat,4,9,1,25.0,2900000,мкр. Новознаменский, Войсковая,,,Спортивный парк
